# File for chromosome length in base pairs (bp)
# chromosome no.      base pair
1 249250621
2 243199373
3 198022430
4 191154276
5 180915260
6 171115067
7 159138663
8 146364022
9 141213431
10 135534747     
11 135006516
12 133851895
13 115169878
14 107349540
15 102531392
16 90354753
17 81195210
18 78077248
19 59128983
20 63025520
21 48129895
22 51304566
23 155270560
24 249250621
25 243199373
26 198022430
27 191154276
28 180915260
29 171115067
30 159138663
31 146364022
32 141213431
33 135534747     
34 135006516
35 133851895
36 115169878
37 107349540
38 102531392
39 90354753
40 81195210
41 78077248
42 59128983
43 63025520
44 48129895
45 51304566
46 155270560
